OM_Category_Label,OM_Simplified_Category,OM_Updated_Category,FSQ_Category_ID,FSQ_Category_Label,FSQ_Category_Primary,FSQ_Category_Secondary,Match_Score,Match_Quality,Review_Reason
hotel_supply_service,Accommodation & Lodging,Business-to-Business,11137,Business and Professional Services > Photography Service,Business and Professional Services , Photography Service,0.667,Medium,Accommodation category mismatch
bed_and_breakfast,Accommodation & Lodging,Accommodation & Lodging,13028,Dining and Drinking > Breakfast Spot,Dining and Drinking , Breakfast Spot,0.581,Low,Low similarity score
motel,Accommodation & Lodging,Accommodation & Lodging,16050,Landmarks and Outdoors > Tunnel,Landmarks and Outdoors , Tunnel,0.545,Low,Low similarity score
cottage,Accommodation & Lodging,Accommodation & Lodging,16012,Landmarks and Outdoors > Cave,Landmarks and Outdoors , Cave,0.545,Low,Low similarity score
low_income_housing,Accommodation & Lodging,Accommodation & Lodging,12064,Community and Government > Government Building,Community and Government , Government Building,0.486,Low,Low similarity score
houseboat,Accommodation & Lodging,Accommodation & Lodging,11174,Business and Professional Services > Warehouse,Business and Professional Services , Warehouse,0.556,Low,Low similarity score
inn,Accommodation & Lodging,Accommodation & Lodging,14008,Event > Line,Event , Line,0.571,Low,Low similarity score
self_catering_accommodation,Accommodation & Lodging,Accommodation & Lodging,19006,Travel and Transportation > Electric Vehicle Charging Station,Travel and Transportation , Electric Vehicle Charging Station,0.5,Low,Low similarity score; Accommodation category mismatch
hotel,Accommodation & Lodging,Accommodation & Lodging,15014,Health and Medicine > Hospital,Health and Medicine , Hospital,0.615,Medium,Accommodation category mismatch
service_apartments,Accommodation & Lodging,Accommodation & Lodging,17033,Retail > Department Store,Retail , Department Store,0.588,Low,Low similarity score
condominium,Accommodation & Lodging,Accommodation & Lodging,14002,Event > Convention,Event , Convention,0.476,Low,Low similarity score
accommodation,Accommodation & Lodging,Accommodation & Lodging,12009,Community and Government > Education,Community and Government , Education,0.545,Low,Low similarity score; Accommodation category mismatch
pumpkin_patch,Agriculture & Farming,Agriculture & Farming,12116,Community and Government > Polling Place,Community and Government , Polling Place,0.538,Low,Low similarity score
grain_elevators,Agriculture & Farming,Agriculture & Farming,17081,Retail > Framing Store,Retail , Framing Store,0.571,Low,Low similarity score
agriculture_association,Agriculture & Farming,Agriculture & Farming,11002,Business and Professional Services > Agriculture and Forestry Service,Business and Professional Services , Agriculture and Forestry Service,0.582,Low,Low similarity score
beer_wine_and_spirits,Agriculture & Farming,Agriculture & Farming,11154,Business and Professional Services > Refrigeration and Ice Supplier,Business and Professional Services , Refrigeration and Ice Supplier,0.549,Low,Low similarity score
apiaries_and_beekeepers,Agriculture & Farming,Agriculture & Farming,10000,Arts and Entertainment,Arts and Entertainment,,0.489,Low,Low similarity score
clown,Arts & Entertainment,Arts & Entertainment,19009,Travel and Transportation > Lodging,Travel and Transportation , Lodging,0.5,Low,Low similarity score
agricultural_production,Arts & Entertainment,Arts & Entertainment,12005,Community and Government > Cultural Center,Community and Government , Cultural Center,0.526,Low,Low similarity score
topic_concert_venue,Arts & Entertainment,Arts & Entertainment,10035,Arts and Entertainment > Performing Arts Venue,Arts and Entertainment , Performing Arts Venue,0.5,Low,Low similarity score
musical_band_orchestras_and_symphonies,Arts & Entertainment,Arts & Entertainment,11000,Business and Professional Services,Business and Professional Services,,0.5,Low,Low similarity score
opera_and_ballet,Arts & Entertainment,Arts & Entertainment,11162,Business and Professional Services > Security and Safety,Business and Professional Services , Security and Safety,0.571,Low,Low similarity score
general_festivals,Arts & Entertainment,Arts & Entertainment,11106,Business and Professional Services > Industrial Estate,Business and Professional Services , Industrial Estate,0.529,Low,Low similarity score
audio_visual_production_and_design,Arts & Entertainment,Arts & Entertainment,11006,Business and Professional Services > Audiovisual Service,Business and Professional Services , Audiovisual Service,0.566,Low,Low similarity score
crops_production,Arts & Entertainment,Arts & Entertainment,11028,Business and Professional Services > Construction,Business and Professional Services , Construction,0.571,Low,Low similarity score
choir,Arts & Entertainment,Arts & Entertainment,10009,Arts and Entertainment > Circus,Arts and Entertainment , Circus,0.545,Low,Low similarity score
festival,Arts & Entertainment,Arts & Entertainment,13037,Dining and Drinking > Cafeteria,Dining and Drinking , Cafeteria,0.588,Low,Low similarity score
orchards_production,Arts & Entertainment,Arts & Entertainment,16020,Landmarks and Outdoors > Historic and Protected Site,Landmarks and Outdoors , Historic and Protected Site,0.522,Low,Low similarity score
commissioned_artist,Arts & Entertainment,Arts & Entertainment,11170,Business and Professional Services > Telecommunication Service,Business and Professional Services , Telecommunication Service,0.5,Low,Low similarity score
video_film_production,Arts & Entertainment,Arts & Entertainment,12009,Community and Government > Education,Community and Government , Education,0.533,Low,Low similarity score
theatrical_productions,Arts & Entertainment,Arts & Entertainment,15025,Health and Medicine > Other Healthcare Professional,Health and Medicine , Other Healthcare Professional,0.549,Low,Low similarity score
music_production,Arts & Entertainment,Arts & Entertainment,11028,Business and Professional Services > Construction,Business and Professional Services , Construction,0.571,Low,Low similarity score
magician,Arts & Entertainment,Arts & Entertainment,15027,Health and Medicine > Physician,Health and Medicine , Physician,0.588,Low,Low similarity score
theaters_and_performance_venues,Arts & Entertainment,Arts & Entertainment,10035,Arts and Entertainment > Performing Arts Venue,Arts and Entertainment , Performing Arts Venue,0.538,Low,Low similarity score
grain_production,Arts & Entertainment,Arts & Entertainment,12009,Community and Government > Education,Community and Government , Education,0.56,Low,Low similarity score
commercial_vehicle_dealer,Automotive,Automotive,19006,Travel and Transportation > Electric Vehicle Charging Station,Travel and Transportation , Electric Vehicle Charging Station,0.483,Low,Low similarity score
emissions_inspection,Automotive,Automotive,18000,Sports and Recreation,Sports and Recreation,,0.537,Low,Low similarity score
b2b_forklift_dealers,Automotive,Business-to-Business,10006,Arts and Entertainment > Bowling Alley,Arts and Entertainment , Bowling Alley,0.485,Low,Low similarity score
coin_dealers,Automotive,Automotive,10006,Arts and Entertainment > Bowling Alley,Arts and Entertainment , Bowling Alley,0.56,Low,Low similarity score
b2b_equipment_maintenance_and_repair,Automotive,Business-to-Business,11037,Business and Professional Services > Equipment Rental Service,Business and Professional Services , Equipment Rental Service,0.5,Low,Low similarity score
automotive_parts_and_accessories,Automotive,Automotive,17003,Retail > Arts and Crafts Store,Retail , Arts and Crafts Store,0.566,Low,Low similarity score
wheel_and_rim_repair,Automotive,Automotive,15000,Health and Medicine,Health and Medicine,,0.513,Low,Low similarity score
forklift_dealer,Automotive,Automotive,11179,Business and Professional Services > Wholesaler,Business and Professional Services , Wholesaler,0.56,Low,Low similarity score
car_buyer,Automotive,Automotive,19005,Travel and Transportation > Cruise,Travel and Transportation , Cruise,0.533,Low,Low similarity score
b2b_truck_equipment_parts_and_accessories,Automotive,Business-to-Business,11032,Business and Professional Services > Electrical Equipment Supplier,Business and Professional Services , Electrical Equipment Supplier,0.486,Low,Low similarity score
boat_service_and_repair,Automotive,Automotive,18000,Sports and Recreation,Sports and Recreation,,0.545,Low,Low similarity score
motorcycle_dealer,Automotive,Automotive,11117,Business and Professional Services > Lottery Retailer,Business and Professional Services , Lottery Retailer,0.545,Low,Low similarity score
car_wash,Automotive,Automotive,10007,Arts and Entertainment > Carnival,Arts and Entertainment , Carnival,0.5,Low,Low similarity score
brake_service_and_repair,Automotive,Automotive,11184,Business and Professional Services > Creative Service,Business and Professional Services , Creative Service,0.55,Low,Low similarity score
exhaust_and_muffler_repair,Automotive,Automotive,17023,Retail > Computers and Electronics Retail,Retail , Computers and Electronics Retail,0.517,Low,Low similarity score
car_broker,Automotive,Automotive,17037,Retail > Eyecare Store,Retail , Eyecare Store,0.522,Low,Low similarity score
car_window_tinting,Automotive,Automotive,19000,Travel and Transportation,Travel and Transportation,,0.465,Low,Low similarity score
tire_dealer_and_repair,Automotive,Automotive,19000,Travel and Transportation,Travel and Transportation,,0.553,Low,Low similarity score
bike_repair_maintenance,Automotive,Automotive,19002,Travel and Transportation > Bike Rental,Travel and Transportation , Bike Rental,0.588,Low,Low similarity score
trucks_and_industrial_vehicles,Automotive,Automotive,12091,Community and Government > Public and Social Service,Community and Government , Public and Social Service,0.582,Low,Low similarity score
b2b_autos_and_vehicles,Automotive,Business-to-Business,16061,Landmarks and Outdoors > States and Municipalities,Landmarks and Outdoors , States and Municipalities,0.553,Low,Low similarity score
auto_security,Automotive,Automotive,17004,Retail > Auction House,Retail , Auction House,0.538,Low,Low similarity score
motorcycle_gear,Automotive,Automotive,12114,Community and Government > Trailer Park,Community and Government , Trailer Park,0.519,Low,Low similarity score
car_stereo_installation,Automotive,Automotive,11028,Business and Professional Services > Construction,Business and Professional Services , Construction,0.514,Low,Low similarity score
it_service_and_computer_repair,Automotive,Automotive,11027,Business and Professional Services > Computer Repair Service,Business and Professional Services , Computer Repair Service,0.566,Low,Low similarity score
truck_dealer_for_businesses,Automotive,Automotive,11108,Business and Professional Services > Technology Business > IT Service,Business and Professional Services , Technology Business ,0.565,Low,Low similarity score
home_automation,Automotive,Automotive,19007,Travel and Transportation > Fuel Station,Travel and Transportation , Fuel Station,0.593,Low,Low similarity score
hybrid_car_repair,Automotive,Automotive,11025,Business and Professional Services > Child Care Service,Business and Professional Services , Child Care Service,0.571,Low,Low similarity score
diamond_dealer,Automotive,Automotive,10024,Arts and Entertainment > Movie Theater,Arts and Entertainment , Movie Theater,0.519,Low,Low similarity score
auto_loan_provider,Automotive,Automotive,17004,Retail > Auction House,Retail , Auction House,0.516,Low,Low similarity score
aircraft_repair,Automotive,Automotive,17003,Retail > Arts and Crafts Store,Retail , Arts and Crafts Store,0.556,Low,Low similarity score
water_heater_installation_repair,Automotive,Automotive,11158,Business and Professional Services > Research Station,Business and Professional Services , Research Station,0.5,Low,Low similarity score
vehicle_wrap,Automotive,Automotive,15017,Health and Medicine > Medical Lab,Health and Medicine , Medical Lab,0.522,Low,Low similarity score
recreational_vehicle_parts_and_accessories,Automotive,Automotive,11154,Business and Professional Services > Refrigeration and Ice Supplier,Business and Professional Services , Refrigeration and Ice Supplier,0.528,Low,Low similarity score
vehicle_shipping,Automotive,Automotive,16021,Landmarks and Outdoors > Hot Spring,Landmarks and Outdoors , Hot Spring,0.538,Low,Low similarity score
