ORIGINAL_CATEGORY,SIMPLIFIED_CATEGORY
general_dentistry,Healthcare & Medical
hardware_store,Retail & Shopping
thai_restaurant,Food & Dining
baseball_field,Entertainment & Recreation
business_to_business_services,Professional Services
surfing,Entertainment & Recreation
pet_waste_removal,Professional Services
bus_ticket_agency,Transportation
metal_detector_services,Automotive
fire_department,Government & Public Services
hookah_bar,Food & Dining
business_storage_and_transportation,Professional Services
shades_and_blinds,Other
commercial_vehicle_dealer,Automotive
vocal_coach,Transportation
thrift_store,Retail & Shopping
ice_cream_and_frozen_yoghurt,Food & Dining
electronic_parts_supplier,Automotive
threads_and_yarns_wholesaler,Retail & Shopping
episcopal_church,Religious & Spiritual
b2b_scientific_equipment,Other
champagne_bar,Food & Dining
gardener,Home & Garden
home_theater_systems_stores,Retail & Shopping
campground,Accommodation
pet_photography,Other
mohel,Other
maternity_centers,Healthcare & Medical
emissions_inspection,Automotive
kiosk,Other
b2b_forklift_dealers,Automotive
tabletop_games,Entertainment & Recreation
farm_equipment_and_supply,Automotive
undersea_hyperbaric_medicine,Food & Dining
social_media_company,Community & Social Services
science_schools,Education & Learning
books_mags_music_and_video,Entertainment & Recreation
gemstone_and_mineral,Government & Public Services
appellate_practice_lawyers,Professional Services
propane_supplier,Industrial & Manufacturing
infectious_disease_specialist,Natural Features & Outdoor
transport_interchange,Transportation
aquatic_pet_store,Retail & Shopping
dam,Other
pentecostal_church,Religious & Spiritual
halal_restaurant,Food & Dining
cardio_classes,Education & Learning
eyelash_service,Automotive
fish_farm,Other
irish_restaurant,Food & Dining
brasserie,Food & Dining
church_cathedral,Religious & Spiritual
haunted_house,Home & Garden
sunglasses_store,Retail & Shopping
packaging_contractors_and_service,Professional Services
foundation_repair,Professional Services
furniture_accessory_store,Retail & Shopping
muay_thai_club,Entertainment & Recreation
unemployment_office,Government & Public Services
public_phones,Food & Dining
convenience_store,Retail & Shopping
boot_camp,Other
clothing_company,Transportation
construction_management,Professional Services
venezuelan_restaurant,Food & Dining
eastern_european_restaurant,Food & Dining
volleyball_club,Entertainment & Recreation
jewelry_manufacturer,Industrial & Manufacturing
outdoor_gear,Retail & Shopping
formal_wear_store,Retail & Shopping
specialty_foods,Food & Dining
coin_dealers,Automotive
clown,Other
martial_arts_club,Entertainment & Recreation
flea_market,Retail & Shopping
mining,Other
orthopedic_shoe_store,Retail & Shopping
dental_laboratories,Healthcare & Medical
home_inspector,Professional Services
pain_management,Healthcare & Medical
boxing_class,Entertainment & Recreation
sports_psychologist,Healthcare & Medical
island,Natural Features & Outdoor
shoe_repair,Automotive
playground,Entertainment & Recreation
go_kart_club,Entertainment & Recreation
speakeasy,Food & Dining
law_schools,Professional Services
ethical_grocery,Retail & Shopping
suicide_prevention_services,Automotive
business_management_services,Professional Services
synagogue,Religious & Spiritual
emergency_service,Automotive
childrens_clothing_store,Retail & Shopping
fur_clothing,Transportation
desert,Natural Features & Outdoor
grocery_store,Retail & Shopping
laser_hair_removal,Beauty & Personal Care
seaplane_bases,Natural Features & Outdoor
scandinavian_restaurant,Food & Dining
electrical_wholesaler,Retail & Shopping
danish_restaurant,Food & Dining
agricultural_cooperatives,Religious & Spiritual
oil_refiners,Other
nutritionist,Beauty & Personal Care
