CATEGORY_LABEL,SIMPLIFIED_CATEGORY
general_dentistry,Healthcare & Medical
hardware_store,Retail & Shopping
thai_restaurant,Food & Dining
baseball_field,Sports & Recreation
business_to_business_services,Other Services
surfing,Sports & Recreation
pet_waste_removal,Utilities & Infrastructure
bus_ticket_agency,Government & Public Services
metal_detector_services,Manufacturing & Industrial
fire_department,Government & Public Services
hookah_bar,Food & Dining
business_storage_and_transportation,Transportation
shades_and_blinds,Other Services
commercial_vehicle_dealer,Automotive
vocal_coach,Education
thrift_store,Retail & Shopping
ice_cream_and_frozen_yoghurt,Food & Dining
electronic_parts_supplier,Business-to-Business
threads_and_yarns_wholesaler,Retail & Shopping
episcopal_church,Religious & Spiritual
b2b_scientific_equipment,Business-to-Business
champagne_bar,Food & Dining
gardener,Home & Garden Services
home_theater_systems_stores,Retail & Shopping
campground,Accommodation & Lodging
pet_photography,Pet Services
mohel,Healthcare & Medical
maternity_centers,Healthcare & Medical
emissions_inspection,Automotive
kiosk,Retail & Shopping
b2b_forklift_dealers,Automotive
tabletop_games,Other Services
farm_equipment_and_supply,Other Services
undersea_hyperbaric_medicine,Food & Dining
social_media_company,Media & Communications
science_schools,Education
books_mags_music_and_video,Other Services
gemstone_and_mineral,Other Services
appellate_practice_lawyers,Professional Services
propane_supplier,Business-to-Business
infectious_disease_specialist,Other Services
transport_interchange,Transportation
aquatic_pet_store,Retail & Shopping
dam,Utilities & Infrastructure
pentecostal_church,Religious & Spiritual
halal_restaurant,Food & Dining
cardio_classes,Education
eyelash_service,Beauty & Wellness
fish_farm,Agriculture & Farming
irish_restaurant,Food & Dining
brasserie,Food & Dining
church_cathedral,Religious & Spiritual
haunted_house,Arts & Entertainment
sunglasses_store,Retail & Shopping
packaging_contractors_and_service,Construction & Contractors
foundation_repair,Automotive
furniture_accessory_store,Retail & Shopping
muay_thai_club,Beauty & Wellness
unemployment_office,Professional Services
public_phones,Food & Dining
convenience_store,Retail & Shopping
boot_camp,Beauty & Wellness
clothing_company,Retail & Shopping
construction_management,Professional Services
venezuelan_restaurant,Food & Dining
eastern_european_restaurant,Food & Dining
volleyball_club,Sports & Recreation
jewelry_manufacturer,Manufacturing & Industrial
outdoor_gear,Retail & Shopping
formal_wear_store,Retail & Shopping
specialty_foods,Food & Dining
coin_dealers,Automotive
clown,Arts & Entertainment
martial_arts_club,Beauty & Wellness
flea_market,Retail & Shopping
mining,Manufacturing & Industrial
orthopedic_shoe_store,Retail & Shopping
dental_laboratories,Healthcare & Medical
home_inspector,Real Estate
pain_management,Professional Services
boxing_class,Beauty & Wellness
sports_psychologist,Healthcare & Medical
island,Parks & Natural Features
shoe_repair,Automotive
playground,Parks & Natural Features
go_kart_club,Sports & Recreation
speakeasy,Food & Dining
law_schools,Education
ethical_grocery,Retail & Shopping
suicide_prevention_services,Community & Social Services
business_management_services,Professional Services
synagogue,Religious & Spiritual
emergency_service,Government & Public Services
childrens_clothing_store,Retail & Shopping
fur_clothing,Retail & Shopping
desert,Parks & Natural Features
grocery_store,Retail & Shopping
laser_hair_removal,Beauty & Wellness
seaplane_bases,Transportation
scandinavian_restaurant,Food & Dining
electrical_wholesaler,Utilities & Infrastructure
danish_restaurant,Food & Dining
