om_category,fsq_category_name,fsq_category_label,confidence_score
arts_and_entertainment,Arts and Entertainment,Arts and Entertainment,110.0
retail,Retail,Retail,110.0
arts_and_crafts,Arts and Crafts Store,Retail > Arts and Crafts Store,100.9
medical_supply,Medical Supply Store,Retail > Medical Supply Store,100.7
sports_and_recreation_venue,Sports and Recreation,Sports and Recreation,100.7
leather_goods,Leather Goods Store,Retail > Leather Goods Store,100.2
auction_house,Auction House,Retail > Auction House,100.2
museum,Museum,Arts and Entertainment > Museum,100.0
bookstore,Bookstore,Retail > Bookstore,100.0
fast_food_restaurant,Fast Food Restaurant,Dining and Drinking > Restaurant > Fast Food Restaurant,100.0
thai_restaurant,Thai Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Thai Restaurant,100.0
hardware_store,Hardware Store,Retail > Hardware Store,100.0
general_dentistry,Doctor's Office,Health and Medicine > Physician > Doctor's Office,100.0
grocery_store,Grocery Store,Retail > Food and Beverage Retail > Grocery Store,100.0
convenience_store,General Travel,Travel and Transportation > General Travel,100.0
post_office,Post Office,Community and Government > Government Building > Post Office,100.0
chinese_restaurant,Chinese Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Chinese Restaurant,100.0
bakery,Bakery,Dining and Drinking > Bakery,100.0
zoo,Zoo,Arts and Entertainment > Zoo,100.0
bar,Bar,Dining and Drinking > Bar,100.0
restaurant,Restaurant,Dining and Drinking > Restaurant > Restaurant,100.0
hospital,Hospital,Health and Medicine > Hospital,100.0
urgent_care_clinic,Hospital,Health and Medicine > Hospital,100.0
french_restaurant,French Restaurant,Dining and Drinking > Restaurant > French Restaurant,100.0
sandwich_shop,Sandwich Spot,Dining and Drinking > Restaurant > Sandwich Spot,100.0
pizza_restaurant,Pizzeria,Dining and Drinking > Restaurant > Pizzeria,100.0
bus_station,Bus Station,Travel and Transportation > Transport Hub > Bus Station,100.0
pharmacy,Pharmacy,Retail > Pharmacy,100.0
casino,Casino,Arts and Entertainment > Casino,100.0
school,Education,Community and Government > Education,100.0
american_restaurant,American Restaurant,Dining and Drinking > Restaurant > American Restaurant,100.0
clothing_store,Clothing Store,Retail > Fashion Retail > Clothing Store,100.0
coffee_shop,Coffee Shop,"Dining and Drinking > Cafe, Coffee, and Tea House > Coffee Shop",100.0
hotel,Hotel,Travel and Transportation > Lodging > Hotel,100.0
burger_restaurant,Burger Joint,Dining and Drinking > Restaurant > Burger Joint,100.0
indian_restaurant,Indian Restaurant,Dining and Drinking > Restaurant > Indian Restaurant,100.0
veterinarian,Pet Supplies Store,Retail > Pet Supplies Store,100.0
cinema,Movie Theater,Arts and Entertainment > Movie Theater,100.0
gym,Gym and Studio,Sports and Recreation > Gym and Studio,100.0
doctor,Doctor's Office,Health and Medicine > Physician > Doctor's Office,100.0
dentist,Doctor's Office,Health and Medicine > Physician > Doctor's Office,100.0
supermarket,Grocery Store,Retail > Food and Beverage Retail > Grocery Store,100.0
korean_restaurant,Korean Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Korean Restaurant,100.0
library,Library,Community and Government > Library,100.0
vietnamese_restaurant,Vietnamese Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Vietnamese Restaurant,100.0
train_station,City Hall,Community and Government > Government Building > City Hall,100.0
japanese_restaurant,Japanese Restaurant,Dining and Drinking > Restaurant > Asian Restaurant > Japanese Restaurant,100.0
park,Park,Landmarks and Outdoors > Park,100.0
shoe_store,Shoe Store,Retail > Fashion Retail > Shoe Store,100.0
gas_station,Fuel Station,Travel and Transportation > Fuel Station,100.0
mexican_restaurant,Mexican Restaurant,Dining and Drinking > Restaurant > Mexican Restaurant,100.0
bowling_alley,Bowling Alley,Arts and Entertainment > Bowling Alley,100.0
italian_restaurant,Italian Restaurant,Dining and Drinking > Restaurant > Italian Restaurant,100.0
airport,Airport,Travel and Transportation > Transport Hub > Airport,100.0
parking,Parking,Travel and Transportation > Parking,100.0
department_store,Plane,Travel and Transportation > Transport Hub > Airport > Plane,100.0
party_supply,Party Supply Store,Retail > Party Supply Store,99.9
flea_market,Flea Market,Retail > Flea Market,99.4
automotive,Automotive Shop,Retail > Automotive Shop,97.2
drugstore,Drugstore,Retail > Drugstore,96.8
boutique,Boutique,Retail > Boutique,96.0
used_bookstore,Used Bookstore,Retail > Bookstore > Used Bookstore,95.9
rock_climbing_spot,Rock Climbing Spot,Landmarks and Outdoors > Rock Climbing Spot,95.8
equestrian_facility,Equestrian Facility,Sports and Recreation > Equestrian Facility,95.2
emergency_service,Emergency Service,Health and Medicine > Emergency Service,95.2
disc_golf_course,Disc Golf Course,Arts and Entertainment > Disc Golf Course,95.0
professional_services,Business and Professional Services,Business and Professional Services,94.7
volleyball_court,Volleyball Court,Sports and Recreation > Volleyball Court,94.2
botanical_garden,Botanical Garden,Landmarks and Outdoors > Botanical Garden,94.0
art_restoration_service,Art Restoration Service,Business and Professional Services > Art Restoration Service,93.8
cricket_ground,Cricket Ground,Sports and Recreation > Cricket Ground,93.5
homeless_shelter,Homeless Shelter,Community and Government > Homeless Shelter,93.5
amusement_park,Amusement Park,Arts and Entertainment > Amusement Park,93.2
retirement_home,Retirement Home,Community and Government > Retirement Home,93.2
night_market,Night Market,Dining and Drinking > Night Market,93.0
basketball_stadium,Basketball Stadium,Arts and Entertainment > Stadium > Basketball Stadium,92.8
internet_cafe,Internet Cafe,Arts and Entertainment > Internet Cafe,92.8
real_estate_service,Real Estate Service,Business and Professional Services > Real Estate Service,92.8
animal_shelter,Animal Shelter,Community and Government > Animal Shelter,92.8
go_kart_track,Go Kart Track,Arts and Entertainment > Go Kart Track,92.8
sporting_goods,Sporting Goods Retail,Retail > Sporting Goods Retail,92.7
hiking_trail,Hiking Trail,Landmarks and Outdoors > Hiking Trail,92.2
food_court,Food Court,Dining and Drinking > Food Court,92.0
baseball_stadium,Baseball Stadium,Arts and Entertainment > Stadium > Baseball Stadium,92.0
football_stadium,Football Stadium,Arts and Entertainment > Stadium > Football Stadium,92.0
food_stand,Food Stand,Dining and Drinking > Food Stand,92.0
food_truck,Food Truck,Dining and Drinking > Food Truck,92.0
trade_fair,Trade Fair,Event > Marketplace > Trade Fair,92.0
art_gallery,Art Gallery,Arts and Entertainment > Art Gallery,91.8
basketball_court,Basketball Court,Sports and Recreation > Basketball > Basketball Court,91.5
chiropractor,Chiropractor,Health and Medicine > Chiropractor,91.3
nutritionist,Nutritionist,Health and Medicine > Nutritionist,91.3
science_museum,Science Museum,Arts and Entertainment > Museum > Science Museum,91.2
race_track,Race Track,Sports and Recreation > Race Track,91.2
national_park,National Park,Landmarks and Outdoors > Park > National Park,91.2
history_museum,History Museum,Arts and Entertainment > Museum > History Museum,91.2
advertising_agency,Advertising Agency,Business and Professional Services > Advertising Agency,91.2
public_transportation,Public Transportation,Travel and Transportation > Transportation Service > Public Transportation,91.0
transportation,Travel and Transportation,Travel and Transportation,91.0
baseball_field,Baseball Field,Sports and Recreation > Baseball > Baseball Field,91.0
tennis_stadium,Tennis Stadium,Arts and Entertainment > Stadium > Tennis Stadium,91.0
financial_service,Financial Service,Business and Professional Services > Financial Service,91.0
water_park,Water Park,Arts and Entertainment > Water Park,91.0
soccer_stadium,Soccer Stadium,Arts and Entertainment > Stadium > Soccer Stadium,91.0
rugby_stadium,Rugby Stadium,Arts and Entertainment > Stadium > Rugby Stadium,90.8
alternative_medicine,Alternative Medicine Clinic,Health and Medicine > Alternative Medicine Clinic,90.8
adult_education,Adult Education,Community and Government > Education > Adult Education,90.8
plastic_surgeon,Plastic Surgeon,Health and Medicine > Physician > Plastic Surgeon,90.8
track_stadium,Track Stadium,Arts and Entertainment > Stadium > Track Stadium,90.8
optometrist,Optometrist,Health and Medicine > Optometrist,90.8
bed_and_breakfast,Bed and Breakfast,Travel and Transportation > Lodging > Bed and Breakfast,90.8
golf_course,Golf Course,Sports and Recreation > Golf > Golf Course,90.5
insurance_agency,Insurance Agency,Business and Professional Services > Insurance Agency,90.5
imported_food,Imported Food Store,Retail > Food and Beverage Retail > Imported Food Store,90.5
laser_tag,Laser Tag Center,Arts and Entertainment > Laser Tag Center,90.5
pool_hall,Pool Hall,Arts and Entertainment > Pool Hall,90.5
storage_facility,Storage Facility,Business and Professional Services > Storage Facility,90.5
hockey_field,Hockey Field,Sports and Recreation > Hockey > Hockey Field,90.5
soccer_field,Soccer Field,Sports and Recreation > Soccer > Soccer Field,90.5
podiatrist,Podiatrist,Health and Medicine > Podiatrist,90.3
distillery,Distillery,Dining and Drinking > Distillery,90.3
skating_rink,Skating Rink,Sports and Recreation > Skating > Skating Rink,90.2
gastroenterologist,Gastroenterologist,Health and Medicine > Physician > Gastroenterologist,90.2
health_and_medical,Health and Medicine,Health and Medicine,90.2
senior_citizen_services,Senior Citizen Service,Community and Government > Senior Citizen Service,90.2
religious_school,Religious School,Community and Government > Education > Religious School,90.2
swimming_pool,Swimming Pool Supply Store,Retail > Swimming Pool Supply Store,90.2
rugby_pitch,Rugby Pitch,Sports and Recreation > Rugby > Rugby Pitch,90.2
organization,Organization,Community and Government > Organization,90.1
planetarium,Planetarium,Arts and Entertainment > Planetarium,90.1
farmers_market,Farmers Market,Retail > Food and Beverage Retail > Farmers Market,90.0
womens_health_clinic,Women's Health Clinic,Health and Medicine > Women's Health Clinic,90.0
translation_services,Translation Service,Business and Professional Services > Translation Service,90.0
town_hall,Town Hall,Community and Government > Town Hall,90.0
beer_garden,Beer Garden,Dining and Drinking > Bar > Beer Garden,90.0
drive_in_theater,Drive-in Theater,Arts and Entertainment > Movie Theater > Drive-in Theater,90.0
geological_services,Geological Service,Business and Professional Services > Geological Service,89.8
rental_service,Rental Service,Business and Professional Services > Rental Service,89.8
language_school,Language School,Community and Government > Education > Language School,89.8
observatory,Observatory,Community and Government > Observatory,89.6
driving_school,Driving School,Community and Government > Education > Driving School,89.5
private_school,Private School,Community and Government > Education > Private School,89.5
anesthesiologist,Anesthesiologist,Health and Medicine > Physician > Anesthesiologist,89.5
badminton_court,Badminton Court,Sports and Recreation > Racquet Sports > Badminton Court,89.5
campground,Campground,Landmarks and Outdoors > Campground,89.3
lighthouse,Lighthouse,Landmarks and Outdoors > Lighthouse,89.3
oral_surgeon,Oral Surgeon,Health and Medicine > Physician > Oral Surgeon,89.2
art_museum,Art Museum,Arts and Entertainment > Museum > Art Museum,89.2
radio_station,Radio Station,Business and Professional Services > Radio Station,89.2
pilates_studio,Pilates Studio,Sports and Recreation > Gym and Studio > Pilates Studio,89.2
ophthalmologist,Ophthalmologist,Health and Medicine > Physician > Ophthalmologist,89.2
emergency_room,Emergency Room,Health and Medicine > Emergency Service > Emergency Room,89.0
circus_school,Circus School,Community and Government > Education > Circus School,89.0
flight_school,Flight School,Community and Government > Education > Flight School,89.0
home_health_care,Home Health Care Service,Health and Medicine > Home Health Care Service,89.0
irish_pub,Irish Pub,Dining and Drinking > Bar > Irish Pub,88.8
waterfall,Waterfall,Landmarks and Outdoors > Waterfall,88.8
media_agency,Media Agency,Business and Professional Services > Media Agency,88.8
